   step	 time	 cost	distance
  420	 55.0	 69.5	 57.2
  421	 55.2	 69.8	 57.4
  422	 55.5	 70.1	 57.7
  423	 55.8	 70.4	 58.0
  424	 56.0	 70.7	 58.3
  425	 56.3	 71.0	 58.6
  426	 56.6	 71.3	 58.9
  427	 56.8	 71.7	 59.2
  428	 57.1	 72.0	 59.5
  429	 57.4	 72.3	 59.8
  430	 57.6	 72.6	 60.1
  431	 57.9	 72.9	 60.4
  432	 58.2	 73.2	 60.7
  433	 58.4	 73.5	 61.0
  434	 58.7	 73.8	 61.3
  435	 59.0	 74.2	 61.6
  436	 59.2	 74.5	 61.9
  437	 59.5	 74.8	 62.2
  438	 59.8	 75.1	 62.5
  439	 60.1	 75.4	 62.8
  440	 60.3	 75.7	 63.1
  441	 60.6	 76.1	 63.4
  442	 60.9	 76.4	 63.7
  443	 61.2	 76.7	 64.0
  444	 61.4	 77.0	 64.3
  445	 61.7	 77.3	 64.6
  446	 62.0	 77.7	 64.9
  447	 62.3	 78.0	 65.2
  448	 62.6	 78.3	 65.5
  449	 62.8	 78.6	 65.8
  450	 63.1	 79.0	 66.1
  451	 63.4	 79.3	 66.4
  452	 63.7	 79.6	 66.7
  453	 64.0	 79.9	 67.0
  454	 64.3	 80.2	 67.3
  455	 64.5	 80.6	 67.6
  456	 64.8	 80.9	 67.9
  457	 65.1	 81.2	 68.2
  458	 65.4	 81.5	 68.5
  459	 65.7	 81.9	 68.8
  460	 66.0	 82.2	 69.1
  461	 66.3	 82.5	 69.4
  462	 66.6	 82.8	 69.7
  463	 66.9	 83.2	 70.0
  464	 67.1	 83.5	 70.3
  465	 67.4	 83.8	 70.7
  466	 67.7	 84.1	 71.0
  467	 68.0	 84.5	 71.3
  468	 68.3	 84.8	 71.6
  469	 68.6	 85.1	 71.9
  470	 68.9	 85.4	 72.2
  471	 69.2	 85.8	 72.6
  472	 69.5	 86.1	 72.9
  473	 69.8	 86.4	 73.2
  474	 70.1	 86.8	 73.5
  475	 70.4	 87.1	 73.8
  476	 70.7	 87.4	 74.1
  477	 71.0	 87.7	 74.4
  478	 71.3	 88.1	 74.8
  479	 71.6	 88.4	 75.1
  480	 71.9	 88.7	 75.4
  481	 72.2	 89.1	 75.7
  482	 72.5	 89.4	 76.0
  483	 72.8	 89.7	 76.4
  484	 73.1	 90.0	 76.7
  485	 73.5	 90.4	 77.0
  486	 73.8	 90.7	 77.3
  487	 74.1	 91.0	 77.7
  488	 74.4	 91.4	 78.0
  489	 74.7	 91.7	 78.3
  490	 75.0	 92.0	 78.7
  491	 75.3	 92.4	 79.0
  492	 75.6	 92.7	 79.3
  493	 75.9	 93.0	 79.6
  494	 76.2	 93.3	 80.0
  495	 76.5	 93.7	 80.3
  496	 76.9	 94.0	 80.7
  497	 77.2	 94.3	 81.0
  498	 77.5	 94.7	 81.3
  499	 77.8	 95.0	 81.7
  500	 78.1	 95.4	 82.0
  501	 78.4	 95.7	 82.3
  502	 78.8	 96.0	 82.7
  503	 79.1	 96.4	 83.0
  504	 79.4	 96.7	 83.3
  505	 79.7	 97.1	 83.7
  506	 80.0	 97.4	 84.0
  507	 80.3	 97.7	 84.4
  508	 80.7	 98.1	 84.7
  509	 81.0	 98.4	 85.0
  510	 81.3	 98.8	 85.4
  511	 81.6	 99.1	 85.7
  512	 82.0	 99.5	 86.0
  513	 82.3	 99.8	 86.4
  514	 82.6	100.2	 86.7
  515	 82.9	100.5	 87.1
  516	 83.2	100.9	 87.4
  517	 83.6	101.3	 87.8
  518	 83.9	101.6	 88.1
  519	 84.2	102.0	 88.5
  520	 84.5	102.3	 88.8
  521	 84.9	102.7	 89.2
  522	 85.2	103.1	 89.5
  523	 85.5	103.4	 89.8
  524	 85.9	103.8	 90.2
  525	 86.2	104.2	 90.5
  526	 86.5	104.5	 90.9
  527	 86.9	104.9	 91.2
  528	 87.2	105.3	 91.6
  529	 87.5	105.6	 91.9
  530	 87.9	106.0	 92.3
  531	 88.2	106.4	 92.6
  532	 88.5	106.7	 93.0
  533	 88.9	107.1	 93.3
  534	 89.2	107.5	 93.7
  535	 89.5	107.8	 94.0
  536	 89.9	108.2	 94.4
  537	 90.2	108.5	 94.7
  538	 90.5	108.9	 95.1
  539	 90.9	109.3	 95.4
  540	 91.2	109.6	 95.8
  541	 91.6	110.0	 96.2
  542	 91.9	110.4	 96.5
  543	 92.3	110.7	 96.9
  544	 92.6	111.1	 97.2
  545	 93.0	111.5	 97.6
  546	 93.3	111.8	 98.0
  547	 93.6	112.2	 98.3
  548	 94.0	112.6	 98.7
  549	 94.3	112.9	 99.0
  550	 94.7	113.3	 99.4
  551	 95.0	113.7	 99.7
  552	 95.4	114.0	100.1
  553	 95.8	114.4	100.5
  554	 96.1	114.8	100.8
  555	 96.5	115.2	101.2
  556	 96.8	115.5	101.6
  557	 97.2	115.9	101.9
  558	 97.5	116.3	102.3
  559	 97.9	116.7	102.6
  560	 98.2	117.0	103.0
  561	 98.6	117.4	103.4
  562	 98.9	117.8	103.8
  563	 99.3	118.2	104.1
  564	 99.7	118.5	104.5
  565	100.0	118.9	104.9
  566	100.4	119.3	105.3
  567	100.7	119.7	105.7
  568	101.1	120.1	106.1
  569	101.4	120.5	106.4
  570	101.8	120.8	106.8
  571	102.2	121.2	107.2
  572	102.5	121.6	107.6
  573	102.9	122.0	108.0
  574	103.2	122.4	108.4
  575	103.6	122.8	108.7
  576	104.0	123.2	109.1
